primary_emotion,count,major_category
aggressive,1000,AGGRESSIVE
angry,944,AGGRESSIVE
fierce,931,AGGRESSIVE
harsh,848,AGGRESSIVE
gritty,843,AGGRESSIVE
gentle,880,CALM_PEACEFUL
relaxed,852,CALM_PEACEFUL
soothing,836,CALM_PEACEFUL
peaceful,568,CALM_PEACEFUL
calm,551,CALM_PEACEFUL
quiet,548,CALM_PEACEFUL
dark,920,DARK_MYSTERIOUS
eerie,895,DARK_MYSTERIOUS
mysterious,779,DARK_MYSTERIOUS
spooky,757,DARK_MYSTERIOUS
scary,738,DARK_MYSTERIOUS
ominous,687,DARK_MYSTERIOUS
dreamy,926,DREAMY_ETHEREAL
spiritual,754,DREAMY_ETHEREAL
mystical,684,DREAMY_ETHEREAL
ethereal,642,DREAMY_ETHEREAL
hypnotic,599,DREAMY_ETHEREAL
intense,932,ENERGETIC_INTENSE
energetic,644,ENERGETIC_INTENSE
powerful,643,ENERGETIC_INTENSE
strong,537,ENERGETIC_INTENSE
driving,500,ENERGETIC_INTENSE
fun,893,HAPPY_POSITIVE
cheerful,892,HAPPY_POSITIVE
positive,880,HAPPY_POSITIVE
uplifting,867,HAPPY_POSITIVE
optimistic,804,HAPPY_POSITIVE
bright,705,HAPPY_POSITIVE
euphoric,701,HAPPY_POSITIVE
happy,681,HAPPY_POSITIVE
thoughtful,740,NOSTALGIC_REFLECTIVE
meditative,735,NOSTALGIC_REFLECTIVE
nostalgic,730,NOSTALGIC_REFLECTIVE
sentimental,717,NOSTALGIC_REFLECTIVE
poignant,682,NOSTALGIC_REFLECTIVE
bittersweet,682,NOSTALGIC_REFLECTIVE
introspective,648,NOSTALGIC_REFLECTIVE
reflective,550,NOSTALGIC_REFLECTIVE
sleazy,958,OTHER
lazy,935,OTHER
sarcastic,934,OTHER
organic,882,OTHER
lyrical,850,OTHER
lush,840,OTHER
exotic,834,OTHER
epic,820,OTHER
martial,813,OTHER
cold,806,OTHER
delicate,800,OTHER
technical,777,OTHER
warm,776,OTHER
nocturnal,761,OTHER
serious,760,OTHER
light,758,OTHER
dramatic,746,OTHER
bitter,734,OTHER
sacred,731,OTHER
smooth,729,OTHER
eccentric,694,OTHER
elegant,686,OTHER
stylish,639,OTHER
exciting,619,OTHER
ironic,605,OTHER
lively,593,OTHER
sweet,582,OTHER
halloween,571,OTHER
complex,545,OTHER
theatrical,539,OTHER
playful,781,PLAYFUL_QUIRKY
silly,745,PLAYFUL_QUIRKY
humorous,700,PLAYFUL_QUIRKY
whimsical,696,PLAYFUL_QUIRKY
witty,696,PLAYFUL_QUIRKY
quirky,523,PLAYFUL_QUIRKY
romantic,882,ROMANTIC_INTIMATE
erotic,858,ROMANTIC_INTIMATE
intimate,778,ROMANTIC_INTIMATE
sexy,770,ROMANTIC_INTIMATE
sensual,697,ROMANTIC_INTIMATE
tender,681,ROMANTIC_INTIMATE
passionate,661,ROMANTIC_INTIMATE
sexual,628,ROMANTIC_INTIMATE
lonely,946,SAD_MELANCHOLY
gloomy,915,SAD_MELANCHOLY
melancholy,708,SAD_MELANCHOLY
brooding,551,SAD_MELANCHOLY
