primary_emotion,count
aggressive,1000
sleazy,958
lonely,946
angry,944
lazy,935
sarcastic,934
intense,932
fierce,931
dreamy,926
dark,920
gloomy,915
eerie,895
fun,893
cheerful,892
organic,882
romantic,882
positive,880
gentle,880
uplifting,867
erotic,858
relaxed,852
lyrical,850
harsh,848
gritty,843
lush,840
soothing,836
exotic,834
epic,820
martial,813
cold,806
optimistic,804
delicate,800
playful,781
mysterious,779
intimate,778
technical,777
warm,776
sexy,770
nocturnal,761
serious,760
light,758
spooky,757
spiritual,754
dramatic,746
silly,745
thoughtful,740
scary,738
meditative,735
bitter,734
sacred,731
nostalgic,730
smooth,729
sentimental,717
melancholy,708
bright,705
euphoric,701
humorous,700
sensual,697
whimsical,696
witty,696
eccentric,694
ominous,687
elegant,686
mystical,684
poignant,682
bittersweet,682
happy,681
tender,681
passionate,661
introspective,648
energetic,644
powerful,643
ethereal,642
stylish,639
sexual,628
exciting,619
ironic,605
hypnotic,599
lively,593
sweet,582
halloween,571
peaceful,568
brooding,551
calm,551
reflective,550
quiet,548
complex,545
theatrical,539
strong,537
quirky,523
driving,500
defiant,491
narrative,480
mellow,478
apocalyptic,476
soft,475
wistful,472
atmospheric,465
trippy,462
sad,457
pure,450
sophisticated,446
earthy,439
spacey,439
cerebral,409
hyper,406
paranoid,402
negative,393
slick,388
philosophical,362
crunchy,362
monumental,356
menacing,349
yearning,328
tragic,310
triumphant,284
rousing,279
provocative,277
cathartic,276
summery,270
bleak,266
flashy,253
grim,241
flowing,239
enigmatic,233
manic,227
sparse,224
urgent,217
desperate,212
autumnal,208
comic,207
joyous,206
explosive,203
carefree,200
naive,197
confrontational,185
demonic,181
tense,179
somber,175
mechanical,174
innocent,166
literate,158
bombastic,156
trashy,155
pastoral,153
rustic,148
cynical,146
earnest,145
laid-back,144
nervous,142
messy,141
unsettling,139
rebellious,138
sparkling,132
precious,128
shimmering,126
spicy,126
confident,125
macabre,125
airy,124
savage,124
devotional,120
druggy,116
ecstatic,111
brash,109
wry,98
anxious,92
sardonic,79
clinical,74
elegiac,72
thrilling,70
fractured,67
ambitious,67
graceful,62
campy,60
animated,60
difficult,59
reckless,58
detached,57
volatile,56
searching,55
mighty,55
brassy,54
hostile,54
perky,53
rowdy,52
visceral,50
nihilistic,48
elaborate,48
fiery,47
plaintive,46
satirical,45
narcotic,45
weary,45
exuberant,42
monastic,42
freewheeling,42
angst-ridden,40
hungry,40
child-like,40
reassuring,39
indulgent,39
outrageous,38
brittle,35
greasy,35
uncompromising,33
kinetic,31
wintry,30
noble,29
transparent,28
street-smart,26
understated,25
acerbic,25
suspenseful,24
marching,24
sprawling,24
raucous,24
refined,23
bravado,22
sugary,21
circular,20
self-conscious,18
rollicking,18
malevolent,17
giddy,17
languid,16
meandering,16
scary music,16
stately,16
thuggish,15
rambunctious,15
irreverent,15
swaggering,14
celebratory,13
threatening,13
reverent,12
gutsy,12
boisterous,11
snide,11
gleeful,11
good-natured,11
suffocating,10
hedonistic,10
feral,10
ornate,9
restrained,9
austere,9
resolute,8
distraught,8
springlike,7
consoling,7
outraged,7
funereal,6
jovial,6
regretful,6
ramshackle,6
jittery,5
effervescent,5
reserved,5
athletic,4
dignified,4
belligerent,3
benevolent,3
amiable,2
sprightly,2
feverish,2
insular,2
capricious,2
motoric,1
knotty,1
virile,1
hymn-like,1
translucent,1
